1,1,100,2000,1,10,4,1,0,0,50,0,0,0,-10,40,80,4,0,0,0,0,0,0,1,30,8,0,0,0,0,0,0,0,1,1,20,0,0,1,60,0,0,0,1
2,1,100,2000,1,22,6,2,0,0,50,0,0,0,-10,40,80,4,0,0,0,0,0,0,1,30,10,0,0,0,0,0,0,0,2,1,20,0,0,1,60,0,0,0,1
3,1,200,1800,68,36,9,3,0,0,43,0,0,-15,-14,68,80,24,0,0,0,0,26,39,1,30,12,0,0,0,0,0,0,0,15,1,20,0,0,1,60,0,0,0,1
4,1,200,1600,68,48,11,4,0,0,43,0,0,-15,-14,68,80,24,0,0,0,0,26,39,1,30,12,0,0,0,0,0,0,0,15,1,20,0,0,1,60,0,0,0,1
5,1,120,1300,69,60,15,6,32,0,30,0,0,-15,-14,68,80,47,0,0,0,0,26,39,1,30,15,0,0,0,0,0,0,0,35,1,20,0,0,1,60,0,0,0,1
6,1,125,2000,70,10,2,3,0,10,40,0,0,0,-15,30,70,24,0,0,0,0,0,0,1,200,8,0,0,0,0,0,0,0,36,1,30,0,-20,1,30,0,0,0,11
7,1,125,2000,70,25,3,5,0,10,40,0,0,0,-15,30,70,24,0,0,0,0,0,0,1,200,12,0,0,0,0,0,0,0,36,1,30,0,-20,1,30,0,0,0,11
8,1,100,1500,71,40,5,6,13,17,28,40,0,0,-15,38,70,24,0,0,0,0,0,0,1,200,15,0,0,0,0,0,0,0,36,1,30,0,-20,1,30,0,0,0,11
9,1,100,1500,71,50,7,8,13,17,28,40,0,0,-15,38,70,24,0,0,0,0,0,0,1,200,15,0,0,0,0,0,0,0,36,1,30,0,-20,1,30,0,0,0,11
10,1,85,1000,72,70,10,12,0,0,42,40,0,0,-15,32,70,17,0,0,0,0,27,30,1,200,18,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0
11,1,80,2000,3,20,5,1,0,0,50,0,0,0,-10,40,80,4,0,0,0,0,0,0,1,30,10,0,0,0,0,0,0,0,37,1,20,0,0,1,60,0,0,0,1
12,1,80,2000,3,40,9,3,0,0,50,0,0,0,-10,40,80,4,0,0,0,0,0,0,1,30,14,0,0,0,0,0,0,0,37,1,20,0,0,1,60,0,0,0,1
